"lat","lng","type"
17.4885586,78.4819025,"Mall"
17.4298736,78.4291511,"Mall"
17.441625,78.4895749,"Mall"
17.4412013,78.4901743,"Mall"
17.4376156,78.4005299,"Mall"
17.3908532,78.4745475,"Mall"
17.4819352,78.5525253,"Mall"
17.398747,78.417901,"Mall"
17.42931,78.515306,"Mall"
17.335588,78.569475,"Mall"
17.334251,78.5696871,"Mall"
17.4600219,78.4112384,"Mall"
17.4179007,78.5430823,"Mall"
17.4050632,78.4960096,"Mall"
17.4381335,78.3856635,"Mall"
17.4150766,78.4489837,"Mall"
17.482466,78.5514353,"Mall"
17.426557,78.4529614,"Mall"
17.4775207,78.5631103,"Mall"
17.4194631,78.4485519,"Mall"
17.4348036,78.3869737,"Mall"
17.426131,78.4530593,"Mall"
17.4262282,78.4530473,"Mall"
17.4994405,78.3999739,"Mall"
17.4342547,78.3865285,"Mall"
17.3682533,78.5264213,"Mall"
17.4262671,78.4529956,"Mall"
17.334099,78.5693438,"Mall"
17.4267958,78.5169984,"Mall"
17.4381368,78.3856447,"Mall"
17.4151022,78.4489837,"Mall"
17.3683746,78.5212702,"Mall"
17.4150586,78.4489515,"Mall"
17.3226665,78.52864,"Mall"
17.4152122,78.4489515,"Mall"
17.4261373,78.4530526,"Mall"
17.3306936,78.5760024,"Mall"
17.3990268,78.5125941,"Bank"
17.53,78.27,"Bank"
17.428589,78.4394243,"Bank"
17.4462339,78.5134315,"Bank"
17.4550821,78.5038022,"Bank"
17.4398856,78.4421424,"Bank"
17.4104838,78.461115,"Bank"
17.4522863,78.4229448,"Bank"
17.4278955,78.4128874,"Bank"
17.3649592,78.427911,"Bank"
17.3506393,78.5074344,"Bank"
17.4292467,78.4550643,"Bank"
17.434851,78.340135,"Bank"
17.4075132,78.4417541,"Bank"
17.4774419,78.5622978,"Bank"
17.4079849,78.4779954,"Bank"
17.3626819,78.4798276,"Bank"
17.4870134,78.3848655,"Bank"
17.4360808,78.4609116,"Bank"
17.4054862,78.4667581,"Bank"
17.4229077,78.4109984,"Bank"
17.4562436,78.3680868,"Bank"
17.4945514,78.3175907,"Bank"
17.4250455,78.5352849,"Bank"
17.410045,78.4374395,"Bank"
17.4287985,78.4883421,"Bank"
17.4082863,78.4969038,"Bank"
17.3944497,78.4751605,"Bank"
17.430237,78.4408164,"Bank"
17.430434,78.4252656,"Bank"
17.4830097,78.5520402,"Bank"
17.4074345,78.4430406,"Bank"
17.44105,78.50141,"Bank"
17.4229855,78.3367999,"Bank"
17.385397,78.4801028,"Bank"
17.441364,78.491577,"Bank"
17.4301867,78.5339494,"Bank"
17.3964311,78.4815879,"Bank"
17.4022008,78.4756647,"Bank"
17.4940647,78.3999428,"Bank"
17.4407313,78.4880983,"Bank"
17.4446093,78.3872825,"Bank"
17.4363056,78.4523584,"Bank"
17.4059308,78.4677018,"Bank"
17.4188539,78.5424466,"Bank"
17.3918539,78.4373191,"Bank"
17.4445344,78.5342127,"Bank"
17.4416733,78.4951281,"Bank"
17.390122,78.4923402,"Bank"
17.4416365,78.4453532,"Bank"
17.4929817,78.397771,"Bank"
17.7362901,78.2835666,"Bank"
17.485314,78.389256,"Bank"
17.480397,78.556314,"Bank"
17.3950686,78.4775451,"Bank"
17.4362484,78.4372809,"Bank"
17.4468591,78.3858679,"Bank"
17.4377483,78.510922,"Bank"
17.368402,78.5200631,"Bank"
17.5134275,78.2878178,"Bank"
17.4497217,78.5337576,"Bank"
17.4655065,78.5387757,"Bank"
17.4283484,78.4901369,"Bank"
17.4581572,78.4034649,"Bank"
17.4095747,78.5444931,"Bank"
17.5167042,78.4464954,"Bank"
17.4950444,78.3947424,"Bank"
17.3771984,78.5391105,"Bank"
17.3277189,78.5558919,"Bank"
17.393813,78.4437051,"Bank"
17.23063,78.544328,"Bank"
17.4407502,78.3936735,"Bank"
17.4046345,78.4895843,"Bank"
17.3900099,78.4958966,"Bank"
17.410608,78.456276,"Bank"
17.4008778,78.477444,"Bank"
17.3545128,78.4722901,"Bank"
17.435016,78.4350121,"Bank"
17.4407902,78.3935854,"Bank"
17.391087,78.5090866,"Bank"
17.4296107,78.4896685,"Bank"
17.495438,78.2960172,"Bank"
17.5027763,78.509017,"Bank"
17.3872509,78.4760235,"Bank"
17.4955143,78.3954361,"Bank"
17.3406638,78.4588085,"Bank"
17.3824434,78.4636276,"Bank"
17.637478,78.485483,"Bank"
17.3395619,78.4690637,"Bank"
17.3856572,78.4802558,"Bank"
17.3731235,78.4133077,"Bank"
17.498575,78.5131525,"Bank"
